imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt1525323,Billa,Billa,2009,2009-04-03,"Action, Thriller",149,India,"Telugu, English",Meher Ramesh,"Salim Khan, Javed Akhtar",Gopikrishna Movies,"Prabhas, Anushka Shetty, Hansika Motwani, Namitha, Rahman, Kelly Dorge, Ali, Subbaraju, Supreet, Aditya, Aravind, Krishnamraju, Jayasudha",A police inspector sends a gangster-lookalike to uncover the gang's secrets.,6.1,1529,INR 250000000,,,,3.0,1.0
tt1525344,Duburys,Duburys,2009,2009-09-04,Drama,140,Lithuania,"Lithuanian, Russian",Gytis Luksas,"Romualdas Granauskas, Gytis Luksas",Lietuvos Kinostudija,"Giedrius Kiela, Egle Mikulionyte, Oksana Borbat, Yevgeniya Varenitsa, Diana Aneviciute, Jurate Onaityte, Mindaugas Ancevicius, Daumantas Ciunis, Sarunas Datenis, Darius Gumauskas, Vladimiras Jefremovas, Valentinas Masalskis, Darius Meskauskas, Neringa Nekrasiute, Valentin Novopolskij","The story of the generation who lived through the entire Soviet period is told through the main character: his childhood spent in a village, true friendship, work in Soviet Klaipeda, thrilling eroticism, and a final, fatal love.",7.3,223,EUR 700000,,"$48,969",,1.0,1.0
tt1525346,El premio,El premio,2011,2012-01-27,Drama,115,"Mexico, France, Poland, Germany",Spanish,Paula Markovitch,Paula Markovitch,Elite Studios,"Paula Galinelli Hertzog, Laura Agorreca, Viviana Suraniti, Sharon Herrera, Diego Alfonso, Uriel Iasillo","Ceci, a seven year old girl, has to keep a huge secret, but she doesn't completely understand what is the secret about. The life of her family depends on her silence. But what exactly must ...",6.6,384,"$1,100,000",,,,4.0,22.0
tt1525366,Grabbers - Hangover finale,Grabbers,2012,2012-08-10,"Action, Adventure, Comedy",94,"Ireland, UK",English,Jon Wright,Kevin Lehane,Forward Films,"Killian Coyle, Stuart Graham, Michael Hough, Richard Coyle, Ruth Bradley, Jonathan Ryan, Lalor Roddy, Louis Dempsey, Pascal Scott, Russell Tovey, Ned Dennehy, Nick Chopping, David Pearse, Bronagh Gallagher, Clelia Murphy","When an island off the coast of Ireland is invaded by bloodsucking aliens, the heroes discover that getting drunk is the only way to survive.",6.3,16695,GBP 4000000,,"$427,335",62.0,89.0,198.0
tt1525552,Apart,Apart,2011,2011-02-01,"Drama, Mystery, Romance",85,USA,English,Aaron Rottinghaus,"Josh Danziger, Aaron Rottinghaus",SystemX Media,"Olesya Rulin, Josh Danziger, Bruce McGill, Joey Lauren Adams, Michael Bowen, Sue Rock, David Born, Jason Davis, Shiree Nelson, Brandon Todd, Chris Binum, Harry Buonocore, Scott De La Cruz, Marissa Garrison, Charlie Guillen","Linked by a rare psychological disorder, Noah Greene and Emily Gates must uncover the mystery of a tragic past in order to find hope for the future.",5.4,574,,"$3,161","$3,161",43.0,16.0,8.0
tt1525830,Eksperimentet,Eksperimentet,2010,2010-09-09,"Drama, History",90,Denmark,"Danish, Greenlandic",Louise Friedberg,"Maj Rørbæk Damgaard, Louise Friedberg",Nimbus Film Productions,"Tanja Kielsen, Laura With Bødker, Julia Naamansen, Benjamin With Bødker, Pilutaq Mati Stork, Najaaraq Stork, Nukappiaaluk Nielsen, Cecilie A. Kjeldsen, Hugo Magnus Jerimiassen, Iben Constance Francie Lange, Charlie Lange, Sten-Peter Sanimuinak, Aputsiaq Jensen, Najaaraq Margit Davidsen, Kristian Falck-Petersen","Greenland, 1952: An orphanage is opened in Nuuk/Godthåb to turn 16 Inuit kids into Danish kids after 18 months in Denmark, and use it as example for modernizing Greenland after poverty and TB spread during WWII.",5.8,199,DKK 23300000,,"$615,524",,3.0,1.0
tt1525836,Gantz Revolution,Gantz: Perfect Answer,2011,2011-04-23,"Action, Horror, Mystery",141,Japan,Japanese,Shinsuke Sato,"Hiroya Oku, Yûsuke Watanabe",Horipro,"Kazunari Ninomiya, Ken'ichi Matsuyama, Yuriko Yoshitaka, Ayumi Itô, Kanata Hongô, Kensuke Chisaka, Gô Ayano, Shigeru Oxe, Yasuyuki Hirano, Masafumi Oishi, Kyoji Kamui, Masanobu Sakata, Naho Toda, Ryûya Wakaba, Takayuki Yamada",Kato's (Ken'ichi Matsuyama) death changes Kurono's (Kazunari Ninomiya) view of life completely. He decides to keep fighting until he earns 100 points so that he can bring back Kato. GANTZ ...,6.2,3850,"$22,000,000",,"$33,672,515",,11.0,34.0
tt1525838,Gun Hill Road,Gun Hill Road,2011,2011-01-01,Drama,86,USA,"English, Spanish",Rashaad Ernesto Green,"Rashaad Ernesto Green, Zora Howard",SimonSays Entertainment,"Esai Morales, Robert Salzman, Ty Jones, Harmony Santana, Robin de Jesus, Judy Reyes, Vanessa Aspillaga, Miriam Colon, Shirley Rumierk, Felix Solis, Flaco Navaja, Franky G, Caridad 'La Bruja' De La Luz, Dennis Leonard Johnson, Ceez Liive",An ex-con returns home to the Bronx after three years in prison to discover his wife estranged and his child exploring a gender transformation that will put the fragile bonds of their family to the test.,6.6,1086,,"$148,994","$148,994",55.0,27.0,30.0
tt1525888,Satte Farben vor Schwarz,Satte Farben vor Schwarz,2010,2011-01-13,Drama,85,Germany,German,Sophie Heldman,"Sophie Heldman, Felix zu Knyphausen",unafilm,"Senta Berger, Bruno Ganz, Barnaby Metschurat, Carina Wiese, Leonie Benesch, Sylvana Krappatsch, Thomas Limpinsel, Traute Hoess, Ruth Glöss, Carlo Ljubek, Volker Pitzer, Sybille J. Schedwill","At the end of their lives, a wealthy couple ponders over life and death. After fifty years together, they decide to leave - not because they have to, but because they want to.",6.3,190,,,"$1,692,948",,2.0,22.0
tt1525890,The Caller,The Caller,2011,2013-02-22,Thriller,92,"UK, Puerto Rico",English,Matthew Parkhill,Sergio Casci,Alcove Entertainment,"Rachelle Lefevre, Stephen Moyer, Lorna Raver, Ed Quinn, Luis Guzmán, Lydia Echevarria, Aris Mejias, Gladys Rodríguez, Sunshine Logroño, Brian Tester, Grace Connelly, Alfredo De Quesada, Leonardo Castro, José Cotté, Cordelia González","A young divorcee is getting her life back together by moving into an apartment. But what will she do when a strange person repeatedly calls her, and threatens to change her new life around?",6.1,10309,,,"$229,746",,85.0,67.0
